key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
나를 한 줄로 표현해보세요,나를 한 줄로 표현해보세요,나를 한 줄로 표현해보세요,自分のことをひとことで,Quelques mots sur vous,Conte um pouco sobre você,AI linguistic pass; human review pending,,
댓글을 불러오지 못했어요.,댓글을 불러오지 못했어요.,댓글을 불러오지 못했어요.,コメントを読み込めませんでした。,Impossible de charger les commentaires.,Não foi possível carregar os comentários.,AI linguistic pass; human review pending,,
처리에 실패했어요.,처리에 실패했어요.,처리에 실패했어요.,操作に失敗しました。,L’action a échoué.,Não foi possível concluir a ação.,AI linguistic pass; human review pending,,
삭제에 실패했어요.,삭제에 실패했어요.,삭제에 실패했어요.,削除できませんでした。,La suppression a échoué.,Não foi possível excluir.,AI linguistic pass; human review pending,,
모두,모두,모두,すべて,Tout,Tudo,AI linguistic pass; human review pending,,
대화,대화,대화,会話,Discussions,Conversas,AI linguistic pass; human review pending,,
언급,언급,언급,メンション,Mentions,Menções,AI linguistic pass; human review pending,,
리포스트,리포스트,리포스트,リポスト,Republications,Republicações,AI linguistic pass; human review pending,,
"Scoor는 감정을 점수로 나누는 곳이에요.
서로의 하루를 존중해 주세요.",Share your day respectfully.,"Scoor는 감정을 점수로 나누는 곳이에요.
서로의 하루를 존중해 주세요.",お互いの一日を尊重して投稿しましょう。,Partagez votre journée dans le respect des autres.,Compartilhe seu dia respeitando as outras pessoas.,AI linguistic pass; human review pending,,
괴롭힘·혐오 표현 금지,No harassment or hate,괴롭힘·혐오 표현 금지,嫌がらせ・差別表現は禁止,Pas de harcèlement ni de haine,Sem assédio ou discurso de ódio,AI linguistic pass; human review pending,,
"특정인이나 집단을 향한 모욕, 차별, 위협은 삭제되고 계정이 제한될 수 있어요.","Abuse, discrimination and threats may result in removal and account restrictions.","특정인이나 집단을 향한 모욕, 차별, 위협은 삭제되고 계정이 제한될 수 있어요.",侮辱、差別、脅迫は削除やアカウント制限の対象になる場合があります。,"Les insultes, discriminations et menaces peuvent entraîner une suppression et des restrictions du compte.","Ofensas, discriminação e ameaças podem resultar em remoção e restrições à conta.",AI linguistic pass; human review pending,,
타인의 개인정보 게시 금지,Respect other people’s privacy,타인의 개인정보 게시 금지,ほかの人のプライバシーを尊重,Respectez la vie privée des autres,Respeite a privacidade das outras pessoas,AI linguistic pass; human review pending,,
"실명, 연락처, 주소 등을 다른 사람 동의 없이 올릴 수 없어요.",Do not post someone else’s private details without permission.,"실명, 연락처, 주소 등을 다른 사람 동의 없이 올릴 수 없어요.",本人の許可なく、個人情報を投稿しないでください。,Ne publiez pas les informations privées d’autrui sans son autorisation.,Não publique dados pessoais de outras pessoas sem permissão.,AI linguistic pass; human review pending,,
스팸·광고 금지,No spam or advertising,스팸·광고 금지,スパム・広告は禁止,Pas de spam ni de publicité,Sem spam ou propaganda,AI linguistic pass; human review pending,,
반복 게시나 홍보 목적의 글은 삭제됩니다.,Repetitive or promotional posts may be removed.,반복 게시나 홍보 목적의 글은 삭제됩니다.,繰り返しの投稿や宣伝目的の投稿は削除される場合があります。,Les publications répétitives ou promotionnelles peuvent être supprimées.,Publicações repetitivas ou promocionais podem ser removidas.,AI linguistic pass; human review pending,,
위태로운 순간에는,Keep the community safe,위태로운 순간에는,安心して使えるコミュニティに,Préservons la sécurité de la communauté,Vamos manter a comunidade segura,AI linguistic pass; human review pending,,
자해나 자살을 부추기는 내용은 금지예요. 힘든 사람을 발견하면 신고해 주세요 — 처벌이 아니라 도움으로 연결됩니다.,Content encouraging self-harm or suicide is prohibited. Report harmful content; reports are not an emergency service.,자해나 자살을 부추기는 내용은 금지예요. 힘든 사람을 발견하면 신고해 주세요 — 처벌이 아니라 도움으로 연결됩니다.,自傷や自殺を促す内容は禁止です。有害な投稿は通報してください。通報機能は緊急通報窓口ではありません。,Les contenus incitant à l’automutilation ou au suicide sont interdits. Signalez les contenus dangereux. Le signalement n’est pas un service d’urgence.,É proibido incentivar automutilação ou suicídio. Denuncie conteúdos perigosos. As denúncias não são um serviço de emergência.,AI linguistic pass; human review pending,,
신고와 차단,Report and block,신고와 차단,通報とブロック,Signaler et bloquer,Denunciar e bloquear,AI linguistic pass; human review pending,,
불편한 글은 언제든 신고하거나 그 사용자를 차단할 수 있어요. 신고를 검토하고 필요한 조치를 취합니다.,You can report content and block users. We review reports and take appropriate action.,불편한 글은 언제든 신고하거나 그 사용자를 차단할 수 있어요. 신고를 검토하고 필요한 조치를 취합니다.,投稿の通報やユーザーのブロックができます。通報を確認し、必要な対応を行います。,Vous pouvez signaler du contenu et bloquer des personnes. Nous examinons les signalements et prenons les mesures appropriées.,Você pode denunciar conteúdo e bloquear pessoas. Analisamos as denúncias e tomamos as medidas necessárias.,AI linguistic pass; human review pending,,
커뮤니티 가이드라인,Community guidelines,커뮤니티 가이드라인,コミュニティガイドライン,Règles de la communauté,Regras da comunidade,AI linguistic pass; human review pending,,
예시 기록 자동 전환 재생,Play example stories,예시 기록 자동 전환 재생,記録例の自動再生を開始,Lire les exemples,Reproduzir exemplos,AI linguistic pass; human review pending,,
예시 기록 자동 전환 일시 정지,Pause example stories,예시 기록 자동 전환 일시 정지,記録例の自動再生を一時停止,Mettre les exemples en pause,Pausar exemplos,AI linguistic pass; human review pending,,
기록 예시,Example entries,기록 예시,記録の例,Exemples d’entrées,Exemplos de registros,AI linguistic pass; human review pending,,
"대한민국, 서울","Seoul, South Korea","대한민국, 서울",韓国・ソウル,"Séoul, Corée du Sud","Seul, Coreia do Sul",AI linguistic pass; human review pending,,
"오늘 팀장님 휴가라
간만에 여름방학 ㅋㅋ","My boss is on vacation.
Feels like summer break lol.","오늘 팀장님 휴가라
간만에 여름방학 ㅋㅋ","今日は上司が休み。
ちょっと夏休み気分。笑","Mon chef est en vacances.
Un petit air de vacances pour moi aussi.","Meu chefe tá de férias.
Até parece que eu também tô kkk",AI linguistic pass; human review pending,,
"일본, 도쿄","Tokyo, Japan","일본, 도쿄",日本・東京,"Tokyo, Japon","Tóquio, Japão",AI linguistic pass; human review pending,,
"야근했는데 집에 오는 길에 산
편의점 푸딩이 의외로 맛있었음","Worked late, but that convenience-store
pudding was actually really good.","야근했는데 집에 오는 길에 산
편의점 푸딩이 의외로 맛있었음","残業したけど、帰りに買った
コンビニのプリンが当たりだった。","J’ai fini tard, mais le petit flan
acheté en rentrant était trop bon.","Saí tarde do trabalho, mas o pudim
que comprei na volta tava bom demais.",AI linguistic pass; human review pending,,
"프랑스, 파리","Paris, France","프랑스, 파리",フランス・パリ,"Paris, France","Paris, França",AI linguistic pass; human review pending,,
"지하철 놓치고 비까지 맞음.
그냥 침대에 있을걸","Missed the metro and got rained on.
Should’ve stayed in bed.","지하철 놓치고 비까지 맞음.
그냥 침대에 있을걸","電車を逃して、雨にも降られた。
家で寝てればよかった。","J’ai raté le métro et pris la pluie.
J’aurais dû rester au lit.","Perdi o metrô e ainda peguei chuva.
Devia ter ficado na cama.",AI linguistic pass; human review pending,,
"브라질, 상파울루","São Paulo, Brazil","브라질, 상파울루",ブラジル・サンパウロ,"São Paulo, Brésil","São Paulo, Brasil",AI linguistic pass; human review pending,,
"월급 들어왔고 내일은 쉬는 날.
오늘은 친구들이랑 피자 먹기로 ㅋㅋ","Got paid and I’m off tomorrow.
Pizza with friends tonight haha.","월급 들어왔고 내일은 쉬는 날.
오늘은 친구들이랑 피자 먹기로 ㅋㅋ","給料入ったし、明日は休み。
今日は友だちとピザ！","La paie est tombée, demain je bosse pas.
Ce soir, pizza avec les potes.","Salário na conta e amanhã é folga.
Hoje tem pizza com a galera kkk",AI linguistic pass; human review pending,,
서버에 연결되어 있지 않습니다.,서버에 연결되어 있지 않습니다.,서버에 연결되어 있지 않습니다.,サーバーに接続されていません。,Pas de connexion au serveur.,Sem conexão com o servidor.,AI linguistic pass; human review pending,,
문서를 불러올 수 없습니다. 동의를 진행할 수 없습니다.,The document is unavailable. Consent cannot proceed.,문서를 불러올 수 없습니다. 동의를 진행할 수 없습니다.,文書を読み込めないため、同意を進められません。,Le document est indisponible. Impossible de poursuivre le consentement.,O documento está indisponível. Não é possível continuar o consentimento.,AI linguistic pass; human review pending,,
"계속하면 이용약관에 동의하고, 만 14세 이상이며 거주 국가의 가입 요건을 충족함을 확인합니다. 계정 제공에 필요한 개인정보 처리는 아래 방침에서 안내합니다.","By continuing, you agree to the Terms and confirm you are 14+ and eligible to join in your country. Our Privacy Notice explains the data needed to provide your account.","계속하면 이용약관에 동의하고, 만 14세 이상이며 거주 국가의 가입 요건을 충족함을 확인합니다. 계정 제공에 필요한 개인정보 처리는 아래 방침에서 안내합니다.",続けると利用規約に同意し、14歳以上で、お住まいの国の登録要件を満たしていることを確認したものとします。アカウント提供に必要な個人情報の取り扱いは、以下の方針で説明しています。,"En continuant, vous acceptez les Conditions, confirmez avoir au moins 14 ans et remplir les conditions d’inscription de votre pays. La Notice de confidentialité explique le traitement des données nécessaires à votre compte.","Ao continuar, você aceita os Termos, confirma ter pelo menos 14 anos e atender aos requisitos de cadastro do seu país. O Aviso de Privacidade explica o uso dos dados necessários para sua conta.",AI linguistic pass; human review pending,,
이용약관,Terms of Service,이용약관,利用規約,Conditions d’utilisation,Termos de Uso,AI linguistic pass; human review pending,,
개인정보처리방침,Privacy Notice,개인정보처리방침,プライバシーに関するお知らせ,Notice de confidentialité,Aviso de Privacidade,AI linguistic pass; human review pending,,
오늘 점수는 몇 점인가요?,What's your score today?,오늘 점수는 몇 점인가요?,今日の一日は何点？,Quelle note pour votre journée ?,Que nota você dá para o seu dia?,AI linguistic pass; human review pending,,
마무리하는 중…,Finishing…,마무리하는 중…,完了処理中…,Finalisation…,Finalizando…,AI linguistic pass; human review pending,,
계속하기,Continue,계속하기,続ける,Continuer,Continuar,AI linguistic pass; human review pending,,
계정 관리 · 로그아웃 · 삭제,Manage account · Sign out · Delete,계정 관리 · 로그아웃 · 삭제,アカウント管理・ログアウト・削除,Gérer le compte · Se déconnecter · Supprimer,Gerenciar conta · Sair · Excluir,AI linguistic pass; human review pending,,
이용 안내를 불러오지 못했어요. 앱을 업데이트해 주세요.,The notice is unavailable. Please update the app.,이용 안내를 불러오지 못했어요. 앱을 업데이트해 주세요.,利用案内を読み込めませんでした。アプリを更新してください。,Les informations sont indisponibles. Mettez l’app à jour.,As informações estão indisponíveis. Atualize o app.,AI linguistic pass; human review pending,,
이용약관 전문,Terms of Service,이용약관 전문,利用規約,Conditions d’utilisation,Termos de Uso,AI linguistic pass; human review pending,,
개인정보 처리 안내,Privacy notice,개인정보 처리 안내,プライバシーに関するお知らせ,Notice de confidentialité,Aviso de Privacidade,AI linguistic pass; human review pending,,
현재 문서 버전: ,Current document version: ,현재 문서 버전: ,現在の文書バージョン：,Version actuelle du document : ,Versão atual do documento: ,AI linguistic pass; human review pending,,
"계정 서비스 이용을 중단하면 새 서버 동기화와 게시를 멈춥니다. 기존 게시물은 자동으로 삭제되지 않으며, 콘텐츠 또는 계정 삭제를 별도로 요청할 수 있습니다. 선택 동의는 아래에서 따로 철회할 수 있습니다.",Stopping account services pauses new synchronization and posting. Existing content is not automatically deleted; you can delete content or your account separately. Optional consent can be withdrawn below.,"계정 서비스 이용을 중단하면 새 서버 동기화와 게시를 멈춥니다. 기존 게시물은 자동으로 삭제되지 않으며, 콘텐츠 또는 계정 삭제를 별도로 요청할 수 있습니다. 선택 동의는 아래에서 따로 철회할 수 있습니다.",アカウントサービスを停止すると、新たなサーバー同期と投稿が停止します。既存の投稿は自動削除されません。コンテンツやアカウントの削除は別途依頼できます。任意の同意は以下で個別に撤回できます。,L’arrêt des services du compte suspend les nouvelles synchronisations et publications. Les contenus existants ne sont pas supprimés automatiquement ; vous pouvez les supprimer ou supprimer votre compte séparément. Les consentements facultatifs peuvent être retirés ci-dessous.,Interromper os serviços da conta pausa novas sincronizações e publicações. O conteúdo existente não é excluído automaticamente; você pode excluir o conteúdo ou a conta separadamente. Os consentimentos opcionais podem ser retirados abaixo.,AI linguistic pass; human review pending,,
민감정보 동의 철회 및 해당 참여 내역 삭제,Withdraw sensitive-data consent and delete those responses,민감정보 동의 철회 및 해당 참여 내역 삭제,機微情報への同意を撤回し、該当する回答を削除,Retirer le consentement aux données sensibles et supprimer ces réponses,Retirar o consentimento de dados sensíveis e excluir essas respostas,AI linguistic pass; human review pending,,
철회하지 못했어요. 다시 시도해 주세요.,Withdrawal failed. Please retry.,철회하지 못했어요. 다시 시도해 주세요.,撤回できませんでした。もう一度お試しください。,Le retrait a échoué. Réessayez.,Não foi possível retirar o consentimento. Tente de novo.,AI linguistic pass; human review pending,,
계정 서비스 이용 중단,Stop account services,계정 서비스 이용 중단,アカウントサービスを停止,Arrêter les services du compte,Interromper os serviços da conta,AI linguistic pass; human review pending,,
이용 안내와 선택 동의,Terms and optional consent,이용 안내와 선택 동의,利用案内と任意の同意,Conditions et consentements facultatifs,Termos e consentimentos opcionais,AI linguistic pass; human review pending,,
계정 서비스 이용을 중단할까요?,Stop account services?,계정 서비스 이용을 중단할까요?,アカウントサービスを停止しますか？,Arrêter les services du compte ?,Interromper os serviços da conta?,AI linguistic pass; human review pending,,
이용 중단,Stop,이용 중단,停止する,Arrêter,Interromper,AI linguistic pass; human review pending,,
서버 철회에 실패했습니다. 다시 시도하거나 고객지원으로 요청해 주세요.,Server withdrawal failed. Retry or contact support.,서버 철회에 실패했습니다. 다시 시도하거나 고객지원으로 요청해 주세요.,サーバーでの撤回に失敗しました。再試行するか、サポートにお問い合わせください。,Le retrait sur le serveur a échoué. Réessayez ou contactez l’assistance.,A retirada no servidor falhou. Tente de novo ou entre em contato com o suporte.,AI linguistic pass; human review pending,,
이 주제에 참여하면 정치적 견해나 건강에 관한 정보가 포함될 수 있어요.,Participating in this topic may reveal political opinions or health information.,이 주제에 참여하면 정치적 견해나 건강에 관한 정보가 포함될 수 있어요.,このトピックへの参加により、政治的見解や健康に関する情報が明らかになる場合があります。,Participer à ce sujet peut révéler des opinions politiques ou des informations sur la santé.,Participar deste assunto pode revelar opiniões políticas ou informações de saúde.,AI linguistic pass; human review pending,,
"항목: 해당 토픽의 점수·댓글과 계정 식별자. 목적: 의견 게시와 결과 집계. 보유: 참여 내역 삭제·동의 철회·탈퇴 시까지. 점수와 댓글은 다른 이용자에게 공개되며, 익명 표시도 서버의 계정 연결은 유지합니다.","Data: scores, comments and your account ID for these topics. Purpose: publishing opinions and aggregating results. Retained until you delete the participation, withdraw consent or close your account. Scores and comments are public; anonymous display still links to your account on the server.","항목: 해당 토픽의 점수·댓글과 계정 식별자. 목적: 의견 게시와 결과 집계. 보유: 참여 내역 삭제·동의 철회·탈퇴 시까지. 점수와 댓글은 다른 이용자에게 공개되며, 익명 표시도 서버의 계정 연결은 유지합니다.",対象データ：該当トピックのスコア、コメント、アカウントID。目的：意見の公開と結果の集計。保有期間：参加履歴の削除、同意撤回、退会まで。スコアとコメントは公開され、匿名表示でもサーバー上ではアカウントとの関連付けが残ります。,"Données : scores, commentaires et identifiant de compte pour ces sujets. Finalités : publier les opinions et agréger les résultats. Conservation jusqu’à la suppression de la participation, au retrait du consentement ou à la fermeture du compte. Scores et commentaires sont publics ; l’affichage anonyme reste lié au compte sur le serveur.","Dados: notas, comentários e ID da conta nesses assuntos. Finalidades: publicar opiniões e agregar resultados. Retenção até a exclusão da participação, retirada do consentimento ou encerramento da conta. Notas e comentários são públicos; a exibição anônima continua vinculada à conta no servidor.",AI linguistic pass; human review pending,,
동의하지 않아도 일기와 일반 주제는 이용할 수 있어요. 설정의 동의 관리에서 철회하면 해당 주제의 참여 내역도 삭제됩니다.,You can use your journal and ordinary topics without agreeing. Withdrawal in consent settings also deletes participation in these topics.,동의하지 않아도 일기와 일반 주제는 이용할 수 있어요. 설정의 동의 관리에서 철회하면 해당 주제의 참여 내역도 삭제됩니다.,同意しなくても日記と通常のトピックは使えます。設定の同意管理で撤回すると、該当トピックの参加履歴も削除されます。,Le journal et les sujets ordinaires restent accessibles sans ce consentement. Son retrait dans les réglages supprime aussi les participations à ces sujets.,Você pode usar o diário e assuntos comuns sem consentir. A retirada nos ajustes também exclui as participações nesses assuntos.,AI linguistic pass; human review pending,,
[선택] 민감정보 수집·이용 및 공개에 동의합니다,"[Optional] I agree to collection, use and public disclosure of this sensitive information",[선택] 민감정보 수집·이용 및 공개에 동의합니다,［任意］この機微情報の収集・利用・公開に同意します,"[Facultatif] J’accepte la collecte, l’utilisation et la divulgation publique de ces données sensibles","[Opcional] Concordo com a coleta, o uso e a divulgação pública destes dados sensíveis",AI linguistic pass; human review pending,,
동의하고 참여,Agree and participate,동의하고 참여,同意して参加,Accepter et participer,Concordar e participar,AI linguistic pass; human review pending,,
저장하지 못했어요. 다시 시도해 주세요.,Couldn’t save. Please try again.,저장하지 못했어요. 다시 시도해 주세요.,保存できませんでした。もう一度お試しください。,Enregistrement impossible. Réessayez.,Não foi possível salvar. Tente de novo.,AI linguistic pass; human review pending,,
민감정보 안내,Sensitive information,민감정보 안내,機微情報について,Données sensibles,Dados sensíveis,AI linguistic pass; human review pending,,
Apple로 계속하기,Continue with Apple,Apple로 계속하기,Appleで続ける,Continuer avec Apple,Continuar com a Apple,AI linguistic pass; human review pending,,
Google로 계속하기,Continue with Google,Google로 계속하기,Googleで続ける,Continuer avec Google,Continuar com o Google,AI linguistic pass; human review pending,,
이메일로 계속하기,Continue with Email,이메일로 계속하기,メールで続ける,Continuer avec un e-mail,Continuar com e-mail,AI linguistic pass; human review pending,,
전화번호로 계속하기,전화번호로 계속하기,전화번호로 계속하기,電話番号で続ける,Continuer avec un numéro de téléphone,Continuar com telefone,AI linguistic pass; human review pending,,
건너뛰기,건너뛰기,건너뛰기,スキップ,Passer,Pular,AI linguistic pass; human review pending,,
Consent saved,Consent saved,,同意を保存しました,Consentement enregistré,Consentimento salvo,AI linguistic pass; human review pending,,
설정이 필요합니다: %@,설정이 필요합니다: %@,,設定が必要です：%@,Configuration nécessaire : %@,Configuração necessária: %@,AI linguistic pass; human review pending,,
로그인에 실패했습니다: %@,로그인에 실패했습니다: %@,,ログインできませんでした：%@,Échec de la connexion : %@,Não foi possível entrar: %@,AI linguistic pass; human review pending,,
%@로 확인 메일을 보냈습니다. 메일의 링크를 눌러 가입을 완료해 주세요.,%@로 확인 메일을 보냈습니다. 메일의 링크를 눌러 가입을 완료해 주세요.,,%@に確認メールを送りました。メールのリンクから登録を完了してください。,Un e-mail de confirmation a été envoyé à %@. Ouvrez le lien pour terminer l’inscription.,Enviamos um e-mail de confirmação para %@. Abra o link para concluir o cadastro.,AI linguistic pass; human review pending,,
"scoor · 최근 %lld일
평균 %@점 · %lld일 기록
How's your day? scoor!","scoor · 최근 %lld일
평균 %@점 · %lld일 기록
How's your day? scoor!",,"scoor · 直近%1$lld日間
平均%2$@点 · %3$lld日分の記録
今日の一日は何点？ scoor!","scoor · %1$lld derniers jours
Moyenne : %2$@ · Jours renseignés : %3$lld
Quelle note pour votre journée ? scoor !","scoor · Últimos %1$lld dias
Média: %2$@ · Dias registrados: %3$lld
Que nota você dá para o seu dia? scoor!",AI linguistic pass; human review pending,,
당신은 %lld점으로 반응했어요.,당신은 %lld점으로 반응했어요.,,%lld点で記録しました。,Vous avez donné un score de %lld.,Você deu uma nota de %lld.,AI linguistic pass; human review pending,,
저장 중 문제가 발생했어요. (%@),저장 중 문제가 발생했어요. (%@),,保存中に問題が発生しました。（%@）,Un problème est survenu lors de l’enregistrement. (%@),Ocorreu um problema ao salvar. (%@),AI linguistic pass; human review pending,,
요청이 거부되었습니다: %@,요청이 거부되었습니다: %@,,リクエストが拒否されました：%@,Demande refusée : %@,Solicitação recusada: %@,AI linguistic pass; human review pending,,
서버 오류(%lld)가 발생했습니다.,서버 오류(%lld)가 발생했습니다.,,サーバーエラーが発生しました（%lld）。,Une erreur serveur est survenue (%lld).,Ocorreu um erro no servidor (%lld).,AI linguistic pass; human review pending,,
Use at least 3 characters.,Use at least 3 characters.,,3文字以上で入力してください。,Utilisez au moins 3 caractères.,Use pelo menos 3 caracteres.,AI linguistic pass; human review pending,,
"Letters, numbers, and underscores only.","Letters, numbers, and underscores only.",,文字・数字・アンダースコアが使えます。,"Lettres, chiffres et traits de soulignement uniquement.","Use apenas letras, números e sublinhados.",AI linguistic pass; human review pending,,
Checking availability...,Checking availability...,,使用できるか確認中…,Vérification de la disponibilité…,Verificando disponibilidade…,AI linguistic pass; human review pending,,
Looks good. It is yours.,Looks good. It is yours.,,この名前が使えます。,Ce nom est disponible.,Esse nome está disponível.,AI linguistic pass; human review pending,,
That name is already taken.,That name is already taken.,,この名前はすでに使われています。,Ce nom est déjà pris.,Esse nome já está em uso.,AI linguistic pass; human review pending,,
오늘의 점수 %lld점,오늘의 점수 %lld점,,今日のスコア、100点満点で%lld点,Score du jour : %lld sur 100,Nota de hoje: %lld de 100,AI linguistic pass; human review pending,,
Email,Email,,メールアドレス,E-mail,E-mail,AI linguistic pass; human review pending,,
Password,Password,,パスワード,Mot de passe,Senha,AI linguistic pass; human review pending,,
6+ characters,6+ characters,,6文字以上,6 caractères minimum,Pelo menos 6 caracteres,AI linguistic pass; human review pending,,
Korea,Korea,,韓国,Corée du Sud,Coreia do Sul,AI linguistic pass; human review pending,,
Japan,Japan,,日本,Japon,Japão,AI linguistic pass; human review pending,,
USA,USA,,アメリカ,États-Unis,Estados Unidos,AI linguistic pass; human review pending,,
Europe,Europe,,ヨーロッパ,Europe,Europa,AI linguistic pass; human review pending,,
SEA,SEA,,東南アジア,Asie du Sud-Est,Sudeste Asiático,AI linguistic pass; human review pending,,
Match,Match,,試合,Match,Partida,AI linguistic pass; human review pending,,
Daily,Daily,,日ごと,Par jour,Por dia,AI linguistic pass; human review pending,,
Weekly,Weekly,,週ごと,Par semaine,Por semana,AI linguistic pass; human review pending,,
Monthly,Monthly,,月ごと,Par mois,Por mês,AI linguistic pass; human review pending,,
Advanced Insights,Advanced Insights,,詳しい振り返り,Analyse détaillée,Análise detalhada,AI linguistic pass; human review pending,,
Monthly Pattern,Monthly Pattern,,月の傾向,Tendances du mois,Tendências do mês,AI linguistic pass; human review pending,,
Highest Day,Highest Day,,最高の日,Meilleur jour,Melhor dia,AI linguistic pass; human review pending,,
Lowest Day,Lowest Day,,最低の日,Jour le plus bas,Dia com menor nota,AI linguistic pass; human review pending,,
THURSDAY,THURSDAY,,木曜日,JEUDI,QUINTA-FEIRA,AI linguistic pass; human review pending,,
Share,Share,,共有,Partager,Compartilhar,AI linguistic pass; human review pending,,
Preparing…,Preparing…,,準備中…,Préparation…,Preparando…,AI linguistic pass; human review pending,,
Instagram Story,Instagram Story,,Instagramストーリーズ,Story Instagram,Story do Instagram,AI linguistic pass; human review pending,,
Save to Gallery,Save to Gallery,,写真に保存,Enregistrer dans Photos,Salvar em Fotos,AI linguistic pass; human review pending,,
WHAT'S YOUR SCOOR?,WHAT'S YOUR SCOOR?,,あなたのSCOORは何点？,QUEL EST VOTRE SCOOR ?,QUAL É O SEU SCOOR?,AI linguistic pass; human review pending,,
PEAK,PEAK,,最高,AU TOP,NO TOPO,AI linguistic pass; human review pending,,
WARM,WARM,,いい感じ,BIEN,BEM,AI linguistic pass; human review pending,,
STEADY,STEADY,,いつもどおり,STABLE,ESTÁVEL,AI linguistic pass; human review pending,,
DIM,DIM,,いまひとつ,EN BAISSE,PRA BAIXO,AI linguistic pass; human review pending,,
DEEP,DEEP,,しんどい,DIFFICILE,DIFÍCIL,AI linguistic pass; human review pending,,
GLOBAL,GLOBAL,,世界,MONDE,GLOBAL,AI linguistic pass; human review pending,,
LOCAL,LOCAL,,地域,LOCAL,LOCAL,AI linguistic pass; human review pending,,
See how people around the world felt today.,See how people around the world felt today.,,今日、世界のみんなはどんな気分？,Découvrez comment le monde se sent aujourd’hui.,Veja como as pessoas pelo mundo se sentem hoje.,AI linguistic pass; human review pending,,
커뮤니티 제안 · %@,커뮤니티 제안 · %@,,コミュニティからの提案 · %@,Proposition de la communauté · %@,Sugestão da comunidade · %@,AI linguistic pass; human review pending,,
탈퇴한 사용자,탈퇴한 사용자,,退会したユーザー,Compte supprimé,Conta excluída,AI linguistic pass; human review pending,,
", mood %@",", mood %@",,、気分：%@,", humeur : %@",", humor: %@",AI linguistic pass; human review pending,,
Find support in your country,Find support in your country,,お住まいの国の相談窓口を探す,Trouver de l’aide dans votre pays,Encontrar apoio no seu país,AI linguistic pass; human review pending,,
Welcome! Your Scoor journey begins today. 🎉,Welcome! Your Scoor journey begins today. 🎉,,はじめての記録ができました。🎉,Votre première journée est enregistrée. 🎉,Seu primeiro dia está registrado. 🎉,AI linguistic pass; human review pending,,
A flawless 100! Soak it in 💯,A flawless 100! Soak it in 💯,,100点満点！いい一日でしたね。💯,100 sur 100 ! Une journée à savourer. 💯,100 de 100! Um dia para aproveitar. 💯,AI linguistic pass; human review pending,,
A zero day. Be gentle with yourself — tomorrow resets 🌱,A zero day. Be gentle with yourself — tomorrow resets 🌱,,今日は0点。今は無理せず休んでください。🌱,Une journée à zéro. Prenez soin de vous. 🌱,Hoje foi zero. Cuide de você. 🌱,AI linguistic pass; human review pending,,
%lld days in a row! Keep the streak alive 🔥,%lld days in a row! Keep the streak alive 🔥,,%lld日連続で記録できました！🔥,Jours consécutifs enregistrés : %lld 🔥,Dias seguidos registrados: %lld 🔥,AI linguistic pass; human review pending,,
%lld points higher than last week!,%lld points higher than last week!,,先週の同じ曜日より%lld点高め,"[one] %lld point de plus que le même jour la semaine dernière
[other] %lld points de plus que le même jour la semaine dernière","[one] %lld ponto acima do mesmo dia da semana passada
[other] %lld pontos acima do mesmo dia da semana passada",AI linguistic pass; human review pending,,
%lld points lower than last week!,%lld points lower than last week!,,先週の同じ曜日より%lld点低め,"[one] %lld point de moins que le même jour la semaine dernière
[other] %lld points de moins que le même jour la semaine dernière","[one] %lld ponto abaixo do mesmo dia da semana passada
[other] %lld pontos abaixo do mesmo dia da semana passada",AI linguistic pass; human review pending,,
%lld points above your monthly average!,%lld points above your monthly average!,,今月の平均より%lld点高め,"[one] %lld point au-dessus de votre moyenne du mois
[other] %lld points au-dessus de votre moyenne du mois","[one] %lld ponto acima da sua média do mês
[other] %lld pontos acima da sua média do mês",AI linguistic pass; human review pending,,
%lld points below your monthly average!,%lld points below your monthly average!,,今月の平均より%lld点低め,"[one] %lld point en dessous de votre moyenne du mois
[other] %lld points en dessous de votre moyenne du mois","[one] %lld ponto abaixo da sua média do mês
[other] %lld pontos abaixo da sua média do mês",AI linguistic pass; human review pending,,
%lld-day upward streak! 🔥,%lld-day upward streak! 🔥,,%lld日連続でスコアが上向きです。🔥,"[one] Votre score monte depuis %lld jour. 🔥
[other] Votre score monte depuis %lld jours. 🔥","[one] Sua nota está subindo há %lld dia. 🔥
[other] Sua nota está subindo há %lld dias. 🔥",AI linguistic pass; human review pending,,
You've been trending down for %lld days. Hang in there 💪,You've been trending down for %lld days. Hang in there 💪,,%lld日ほどスコアが下がっています。無理せずに。,"[one] Vos scores baissent depuis %lld jour. Prenez soin de vous.
[other] Vos scores baissent depuis %lld jours. Prenez soin de vous.","[one] Suas notas caíram nos últimos %lld dia. Vá com calma.
[other] Suas notas caíram nos últimos %lld dias. Vá com calma.",AI linguistic pass; human review pending,,
What an amazing day! 🌟,What an amazing day! 🌟,,いい一日でしたね！🌟,Quelle belle journée ! 🌟,Que dia bom! 🌟,AI linguistic pass; human review pending,,
Tough day. Tomorrow is a new start 🌅,Tough day. Tomorrow is a new start 🌅,,大変な一日でしたね。今日はゆっくり。🌅,Une journée difficile. Prenez le temps de souffler. 🌅,Um dia difícil. Tire um tempo para descansar. 🌅,AI linguistic pass; human review pending,,
